,station_id,lat,lng,pickup_count,dropoff_count,total_trips,cluster
443,3117,40.73564,-73.95866,12076,12142,24218,22
444,248,40.72185379,-74.00771779,12024,12141,24165,28
445,3369,40.7724607,-73.9468208,12056,12106,24162,25
446,3701,40.70831794366396,-74.0050408244133,11913,12136,24049,12
447,242,40.697787,-73.973736,11409,12534,23943,1
448,493,40.7568001,-73.98291153,11912,11915,23827,11
449,3294,40.7835016,-73.955327,11919,11884,23803,25
450,3398,40.67469570000001,-73.99785768,11798,11947,23745,19
451,3341,40.795346,-73.96186,12676,10980,23656,0
452,3437,40.79313480986664,-73.97700369358063,12060,11344,23404,0
453,353,40.68539567,-73.97431458,11798,11599,23397,24
454,3538,40.802692,-73.96295,12592,10690,23282,0
455,3407,40.67909799721684,-73.98765474557877,11265,11995,23260,19
456,262,40.6917823,-73.97372990000001,12572,10646,23218,1
457,3329,40.6829151,-73.99318208,11492,11644,23136,19
458,3304,40.668127,-73.98377641,11676,11417,23093,13
459,3083,40.71247661,-73.94100005,11612,11471,23083,10
460,3359,40.7691572,-73.96703464,11512,11502,23014,15
461,3419,40.67927879999999,-73.98154004,11104,11845,22949,24
462,3434,40.790254173304184,-73.97718340158461,11762,11161,22923,0
463,3422,40.6859296,-74.00242364,11176,11741,22917,19
464,3529,40.8107922,-73.9430681,11247,11609,22856,21
465,3593,40.761584,-73.925921,11480,11358,22838,8
466,3430,40.71907891179564,-73.94223690032959,11405,11389,22794,10
467,3076,40.70870368,-73.9448625,11363,11399,22762,10
468,3300,40.66514681533792,-73.97637605667114,11530,11156,22686,13
469,3357,40.80083629999999,-73.9664492472,11712,10833,22545,0
470,3536,40.8082,-73.9641,12652,9806,22458,21
471,3671,40.77477944895728,-73.95427465438844,11215,11230,22445,15
472,3599,40.663140000000006,-73.96056949999999,10921,11467,22388,6
473,3552,40.805973,-73.964928,12372,9965,22337,21
474,3284,40.781410700190015,-73.95595908164978,11061,11082,22143,25
475,3296,40.78245417527987,-73.94891962409021,10845,11217,22062,25
476,344,40.6851443,-73.95380904,11382,10666,22048,18
477,3496,40.7923272,-73.9383,10876,11031,21907,14
478,365,40.68223166,-73.9614583,11496,10328,21824,6
479,3453,40.71335226222875,-73.9491033554077,10880,10900,21780,10
480,3384,40.678724200000005,-73.99599099,10920,10739,21659,19
481,3125,40.74708586,-73.94977234,10771,10853,21624,22
482,3321,40.6831164,-73.99785267,10867,10709,21576,19
483,3377,40.6786115,-73.99037292,10708,10857,21565,19
484,3180,40.69878,-73.99712,10667,10853,21520,20
485,407,40.700469,-73.991454,11044,10390,21434,20
486,3415,40.6793307,-73.97519523,10673,10749,21422,24
487,3375,40.7699426,-73.96060712,10682,10693,21375,15
488,3080,40.709340000000005,-73.95608,10720,10601,21321,27
489,3581,40.674012299999994,-73.9671457,10933,10378,21311,6
490,2022,40.759107,-73.959223,10597,10627,21224,15
491,3425,40.7892105,-73.94370784,10401,10528,20929,25
492,3319,40.666287,-73.98895053,10425,10497,20922,13
493,3102,40.72179134,-73.95041540000001,10526,10362,20888,10
494,3396,40.6783563,-74.00014502,10404,10395,20799,19
495,3562,40.676519799999994,-73.9596082,10496,10294,20790,6
496,3412,40.6853761,-73.98302136,10394,10393,20787,24
497,3345,40.78948541553215,-73.9524292945862,10409,10349,20758,25
498,82,40.71117416,-74.00016545,10217,10451,20668,28
499,3389,40.6830456,-74.00348559,10047,10513,20560,19
500,3081,40.711863,-73.944024,10263,10250,20513,10
501,120,40.68676793,-73.95928168,10543,9680,20223,1
502,275,40.68650065,-73.96563307,10742,9458,20200,1
503,298,40.68683208,-73.9796772,9862,10322,20184,24
504,3572,40.756913,-73.921631,10067,10071,20138,8
505,3311,40.68763155,-74.0016256,9810,10231,20041,19
506,3310,40.663779,-73.98396846,10351,9522,19873,13
507,3410,40.6864442,-73.98759104,9828,10011,19839,19
508,3413,40.6827549,-73.98258555,9728,9914,19642,24
509,3388,40.6828003,-73.99990419,9823,9810,19633,19
510,3286,40.7806284,-73.9521667,9796,9809,19605,25
511,3358,40.671197799999995,-73.97484126,10162,9279,19441,24
512,3516,40.76991760000001,-73.91840570000001,9707,9703,19410,8
513,3403,40.6705135,-73.98876585,9257,10136,19393,13
514,3438,40.772248537721744,-73.95842134952545,9669,9698,19367,15
515,3152,40.76873687,-73.96119945,9888,9474,19362,15
516,420,40.68764484,-73.96968902,10641,8573,19214,1
517,3085,40.71469,-73.95739,9530,9670,19200,27
518,3615,40.748000000000005,-73.94609270000001,9514,9603,19117,3
519,3306,40.666207799999995,-73.98199886,9947,9132,19079,13
520,3695,40.72686951528207,-73.9891903102398,9384,9518,18902,9
521,343,40.69794,-73.96986848,8702,10197,18899,1
522,3549,40.678045,-73.962408,9546,9237,18783,6
523,3537,40.68097410000001,-73.97100970000001,9438,9329,18767,24
524,3379,40.790305100000005,-73.94755757,9271,9482,18753,25
525,3339,40.6765304,-73.97846879,9247,9439,18686,24
526,3690,40.71334184275907,-74.00935515761375,9216,9347,18563,28
527,3533,40.8114323,-73.95187759999999,9151,9404,18555,21
528,144,40.69839895,-73.98068914,8676,9763,18439,20
529,400,40.71926081,-73.98178024,9218,9199,18417,17
530,3555,40.751047,-73.93796999999999,9154,9206,18360,3
531,3303,40.6849894,-73.99440329,9117,9220,18337,19
532,3105,40.724055,-73.955736,8951,9066,18017,27
